TITLE,Fecha,Cantidad,Time
Libro 101,2020-12-01,486.0,35
Libro 101,2021-01-01,191.0,36
Libro 102,2018-01-01,0.0,0
Libro 102,2018-02-01,0.0,1
Libro 102,2018-03-01,0.0,2
Libro 102,2018-04-01,0.0,3
Libro 102,2018-05-01,0.0,4
Libro 102,2018-06-01,0.0,5
Libro 102,2018-07-01,0.0,6
Libro 102,2018-08-01,0.0,7
Libro 102,2018-09-01,0.0,8
Libro 102,2018-10-01,0.0,9
Libro 102,2018-11-01,0.0,10
Libro 102,2018-12-01,0.0,11
Libro 102,2019-01-01,0.0,12
Libro 102,2019-02-01,0.0,13
Libro 102,2019-03-01,0.0,14
Libro 102,2019-04-01,0.0,15
Libro 102,2019-05-01,0.0,16
Libro 102,2019-06-01,0.0,17
Libro 102,2019-07-01,0.0,18
Libro 102,2019-08-01,0.0,19
Libro 102,2019-09-01,0.0,20
Libro 102,2019-10-01,0.0,21
Libro 102,2019-11-01,0.0,22
Libro 102,2019-12-01,0.0,23
Libro 102,2020-01-01,0.0,24
Libro 102,2020-02-01,0.0,25
Libro 102,2020-03-01,0.0,26
Libro 102,2020-04-01,0.0,27
Libro 102,2020-05-01,1508.0,28
Libro 102,2020-06-01,2004.0,29
Libro 102,2020-07-01,1048.0,30
Libro 102,2020-08-01,695.0,31
Libro 102,2020-09-01,792.0,32
Libro 102,2020-10-01,437.0,33
Libro 102,2020-11-01,274.0,34
Libro 102,2020-12-01,480.0,35
Libro 102,2021-01-01,154.0,36
Libro 103,2018-01-01,0.0,0
Libro 103,2018-02-01,0.0,1
Libro 103,2018-03-01,0.0,2
Libro 103,2018-04-01,0.0,3
Libro 103,2018-05-01,0.0,4
Libro 103,2018-06-01,0.0,5
Libro 103,2018-07-01,0.0,6
Libro 103,2018-08-01,0.0,7
Libro 103,2018-09-01,0.0,8
Libro 103,2018-10-01,0.0,9
Libro 103,2018-11-01,0.0,10
Libro 103,2018-12-01,0.0,11
Libro 103,2019-01-01,0.0,12
Libro 103,2019-02-01,0.0,13
Libro 103,2019-03-01,0.0,14
Libro 103,2019-04-01,0.0,15
Libro 103,2019-05-01,0.0,16
Libro 103,2019-06-01,0.0,17
Libro 103,2019-07-01,0.0,18
Libro 103,2019-08-01,0.0,19
Libro 103,2019-09-01,0.0,20
Libro 103,2019-10-01,0.0,21
Libro 103,2019-11-01,0.0,22
Libro 103,2019-12-01,0.0,23
Libro 103,2020-01-01,0.0,24
Libro 103,2020-02-01,0.0,25
Libro 103,2020-03-01,0.0,26
Libro 103,2020-04-01,0.0,27
Libro 103,2020-05-01,214.0,28
Libro 103,2020-06-01,193.0,29
Libro 103,2020-07-01,281.0,30
Libro 103,2020-08-01,212.0,31
Libro 103,2020-09-01,196.0,32
Libro 103,2020-10-01,136.0,33
Libro 103,2020-11-01,166.0,34
Libro 103,2020-12-01,157.0,35
Libro 103,2021-01-01,75.0,36
Libro 104,2018-01-01,0.0,0
Libro 104,2018-02-01,0.0,1
Libro 104,2018-03-01,0.0,2
Libro 104,2018-04-01,0.0,3
Libro 104,2018-05-01,0.0,4
Libro 104,2018-06-01,0.0,5
Libro 104,2018-07-01,0.0,6
Libro 104,2018-08-01,0.0,7
Libro 104,2018-09-01,0.0,8
Libro 104,2018-10-01,0.0,9
Libro 104,2018-11-01,0.0,10
Libro 104,2018-12-01,0.0,11
Libro 104,2019-01-01,0.0,12
Libro 104,2019-02-01,0.0,13
Libro 104,2019-03-01,0.0,14
Libro 104,2019-04-01,0.0,15
Libro 104,2019-05-01,0.0,16
Libro 104,2019-06-01,0.0,17
Libro 104,2019-07-01,0.0,18
Libro 104,2019-08-01,0.0,19
Libro 104,2019-09-01,0.0,20
Libro 104,2019-10-01,0.0,21
Libro 104,2019-11-01,0.0,22
Libro 104,2019-12-01,0.0,23
Libro 104,2020-01-01,0.0,24
Libro 104,2020-02-01,0.0,25
Libro 104,2020-03-01,0.0,26
Libro 104,2020-04-01,0.0,27
Libro 104,2020-05-01,16.0,28
Libro 104,2020-06-01,29.0,29
Libro 104,2020-07-01,104.0,30
Libro 104,2020-08-01,101.0,31
Libro 104,2020-09-01,115.0,32
Libro 104,2020-10-01,56.0,33
Libro 104,2020-11-01,39.0,34
Libro 104,2020-12-01,78.0,35
Libro 104,2021-01-01,29.0,36
Libro 105,2018-01-01,0.0,0
Libro 105,2018-02-01,0.0,1
Libro 105,2018-03-01,0.0,2
Libro 105,2018-04-01,0.0,3
Libro 105,2018-05-01,0.0,4
Libro 105,2018-06-01,0.0,5
Libro 105,2018-07-01,0.0,6
Libro 105,2018-08-01,0.0,7
Libro 105,2018-09-01,0.0,8
Libro 105,2018-10-01,0.0,9
Libro 105,2018-11-01,0.0,10
Libro 105,2018-12-01,0.0,11
Libro 105,2019-01-01,0.0,12
Libro 105,2019-02-01,0.0,13
Libro 105,2019-03-01,0.0,14
Libro 105,2019-04-01,0.0,15
Libro 105,2019-05-01,0.0,16
Libro 105,2019-06-01,0.0,17
Libro 105,2019-07-01,0.0,18
Libro 105,2019-08-01,0.0,19
Libro 105,2019-09-01,0.0,20
Libro 105,2019-10-01,0.0,21
Libro 105,2019-11-01,0.0,22
Libro 105,2019-12-01,0.0,23
Libro 105,2020-01-01,0.0,24
Libro 105,2020-02-01,0.0,25
Libro 105,2020-03-01,0.0,26
Libro 105,2020-04-01,0.0,27
Libro 105,2020-05-01,35.0,28
Libro 105,2020-06-01,41.0,29
Libro 105,2020-07-01,46.0,30
Libro 105,2020-08-01,38.0,31
Libro 105,2020-09-01,25.0,32
Libro 105,2020-10-01,23.0,33
Libro 105,2020-11-01,25.0,34
Libro 105,2020-12-01,27.0,35
Libro 105,2021-01-01,16.0,36
Libro 106,2018-01-01,0.0,0
Libro 106,2018-02-01,0.0,1
Libro 106,2018-03-01,0.0,2
Libro 106,2018-04-01,0.0,3
Libro 106,2018-05-01,0.0,4
Libro 106,2018-06-01,0.0,5
Libro 106,2018-07-01,0.0,6
Libro 106,2018-08-01,0.0,7
Libro 106,2018-09-01,0.0,8
Libro 106,2018-10-01,0.0,9
Libro 106,2018-11-01,0.0,10
Libro 106,2018-12-01,0.0,11
Libro 106,2019-01-01,0.0,12
Libro 106,2019-02-01,0.0,13
Libro 106,2019-03-01,0.0,14
Libro 106,2019-04-01,0.0,15
Libro 106,2019-05-01,0.0,16
Libro 106,2019-06-01,0.0,17
Libro 106,2019-07-01,0.0,18
Libro 106,2019-08-01,0.0,19
Libro 106,2019-09-01,0.0,20
Libro 106,2019-10-01,0.0,21
Libro 106,2019-11-01,0.0,22
Libro 106,2019-12-01,0.0,23
Libro 106,2020-01-01,0.0,24
Libro 106,2020-02-01,0.0,25
Libro 106,2020-03-01,0.0,26
Libro 106,2020-04-01,0.0,27
Libro 106,2020-05-01,29.0,28
Libro 106,2020-06-01,77.0,29
Libro 106,2020-07-01,53.0,30
Libro 106,2020-08-01,38.0,31
Libro 106,2020-09-01,26.0,32
Libro 106,2020-10-01,25.0,33
Libro 106,2020-11-01,10.0,34
Libro 106,2020-12-01,28.0,35
Libro 106,2021-01-01,6.0,36
Libro 107,2018-01-01,0.0,0
Libro 107,2018-02-01,0.0,1
